ward_code,ward_name,total_population,population_under5,travel_time_to_adequate_min,nearest_adequate_facility_id,travel_time_to_any_facility_min,nearest_any_facility_id,gap_type
W0416,Agbkoli,63483,11133,59.2,HF00713,57.5,HF00708,adequately_served
W0437,Katluko,10915,1803,59.2,HF01112,52.3,HF01115,adequately_served
W0220,Shabani,17795,2597,59.0,HF00582,36.6,HF00583,adequately_served
W0058,Tivsawo,22734,3595,58.8,HF00196,58.8,HF00196,adequately_served
W0441,Yobwani,26544,4449,58.7,HF01222,58.7,HF01222,adequately_served
W0531,Umuwako,38914,5813,58.6,HF01142,57.7,HF01138,adequately_served
W0102,Soktiri,35762,5287,58.5,HF00379,35.1,HF00377,adequately_served
W0456,Okebawo,65346,10973,58.4,HF01248,58.4,HF01248,adequately_served
W0363,Ibalana,67969,11837,58.3,HF00743,55.0,HF00745,adequately_served
W0494,Funnari,16774,2882,58.3,HF00966,58.3,HF00966,adequately_served
W0367,Nasjidu,29290,4270,58.1,HF00864,58.1,HF00864,adequately_served
W0580,Soktiba,41671,6786,57.9,HF01026,57.9,HF01026,adequately_served
W0249,Suplali,63555,11655,57.8,HF00295,57.8,HF00295,adequately_served
W0321,Katriwa,25144,4134,57.8,HF00635,38.6,HF00657,adequately_served
W0153,Eketsishi,37573,6676,57.7,HF00596,57.7,HF00596,adequately_served
W0349,Tivshana,9478,1571,57.7,HF00670,57.7,HF00670,adequately_served
W0619,Malludu,27464,5014,57.7,HF01294,57.7,HF01294,adequately_served
W0583,Yelwami,13065,1929,57.2,HF01311,57.2,HF01311,adequately_served
W0168,Shatsiru,30322,5296,57.2,HF00605,57.2,HF00605,adequately_served
W0599,Malsharu,47299,8059,57.0,HF01309,53.2,HF01307,adequately_served
W0015,Tamyowa,23194,4157,57.0,HF00047,45.2,HF00088,adequately_served
W0353,Malshana,66078,10499,57.0,HF00928,57.0,HF00928,adequately_served
W0335,Lokkona,27978,4874,56.8,HF00893,45.9,HF00896,adequately_served
W0059,Malrama,30305,5341,56.7,HF00409,56.7,HF00409,adequately_served
W0041,Dutkoko,41424,6836,56.7,HF00008,51.9,HF00072,adequately_served
W0071,Fundeyi,21672,3914,56.6,HF00079,45.2,HF00080,adequately_served
W0446,Shashafa,90801,14081,56.3,HF01248,56.3,HF01248,adequately_served
W0104,Irotsifa,12906,2081,56.3,HF00395,41.8,HF00397,adequately_served
W0611,Dairiwo,9132,1503,56.2,HF01294,49.8,HF01317,adequately_served
W0491,Sokmiwa,94379,13768,56.2,HF01205,56.2,HF01205,adequately_served
W0163,Bankoyi,9901,1780,56.2,HF00456,42.8,HF00115,adequately_served
W0118,Hanradu,31076,5386,56.1,HF00621,52.6,HF00628,adequately_served
W0396,Katmana,108552,18540,56.0,HF00727,41.5,HF00726,adequately_served
W0064,Hantside,10724,1649,56.0,HF00079,44.6,HF00080,adequately_served
W0135,Birnushi,25287,3918,55.8,HF00389,55.8,HF00389,adequately_served
W0334,Riyzama,28179,5032,55.8,HF00489,55.8,HF00489,adequately_served
W0352,Kukjino,238099,41681,55.5,HF00789,55.5,HF00789,adequately_served
W0343,Uzojiri,15430,2514,55.5,HF01077,38.1,HF01080,adequately_served
W0505,Riywashi,39119,5976,55.4,HF01262,44.1,HF01234,adequately_served
W0251,Yelzafa,64890,9790,55.3,HF00590,44.2,HF00591,adequately_served
W0388,Hanraru,36907,5874,55.2,HF00541,55.2,HF00541,adequately_served
W0312,Banrani,9841,1715,55.2,HF00635,35.9,HF00657,adequately_served
W0604,Okewari,19350,2906,54.8,HF01294,48.5,HF01317,adequately_served
W0359,Bansawa,27874,4691,54.8,HF00489,54.8,HF00489,adequately_served
W0328,Gwojishi,27906,4942,54.7,HF00912,54.7,HF00912,adequately_served
W0375,Zamwari,24345,4005,54.7,HF00670,54.7,HF00670,adequately_served
W0036,Baulako,70555,12960,54.5,HF00034,54.5,HF00034,adequately_served
W0176,Katwama,10539,1828,54.5,HF00559,33.7,HF00165,adequately_served
W0424,Olunumi,12678,2217,54.5,HF00856,54.5,HF00856,adequately_served
W0499,Loktsifa,25735,4035,54.4,HF00850,54.4,HF00850,adequately_served
W0603,Gwonuri,16351,2626,54.4,HF01311,50.1,HF01310,adequately_served
W0191,Riyriru,43656,6349,54.3,HF00249,54.3,HF00249,adequately_served
W0429,Birriwa,128118,19638,54.3,HF01218,54.3,HF01218,adequately_served
W0522,Dutluko,8488,1399,54.3,HF00850,54.3,HF00850,adequately_served
W0552,Riydewa,9433,1535,54.3,HF01142,53.4,HF01138,adequately_served
W0337,Okeluwo,60422,9242,54.3,HF00684,22.2,HF00640,adequately_served
W0095,Tamdumi,21185,3572,54.2,HF00196,54.2,HF00196,adequately_served
W0279,Kuklasa,57352,9814,54.1,HF00912,52.2,HF00467,adequately_served
W0283,Ekelusa,31819,5804,54.1,HF00332,54.1,HF00332,adequately_served
W0002,Wurshaba,78192,14179,53.9,HF00011,45.8,HF00010,adequately_served
W0294,Yeltiko,44690,6712,53.9,HF00499,53.9,HF00499,adequately_served
W0323,Uzojili,24087,4102,53.8,HF00486,52.6,HF00482,adequately_served
W0131,Agbtifa,12792,2262,53.7,HF00132,53.7,HF00132,adequately_served
W0300,Tivtimi,28943,4887,53.4,HF00655,47.0,HF00656,adequately_served
W0393,Yobkono,29872,5172,53.2,HF00723,43.6,HF00920,adequately_served
W0286,Riyridu,20150,3129,53.2,HF00908,53.2,HF00908,adequately_served
W0474,Tambawa,17532,2839,53.1,HF00847,53.1,HF00847,adequately_served
W0427,Katdeno,64470,9430,53.0,HF00713,51.3,HF00708,adequately_served
W0319,Wurlutu,38852,6166,53.0,HF00731,53.0,HF00731,adequately_served
W0365,Ibayoja,22597,3754,52.8,HF00642,26.5,HF00643,adequately_served
W0341,Umunuta,9135,1485,52.8,HF00490,52.8,HF00490,adequately_served
W0423,Agbriko,37321,5670,52.7,HF00542,52.7,HF00542,adequately_served
W0110,Ekeluwa,48374,8707,52.6,HF00124,34.8,HF00137,adequately_served
W0175,Zamnawo,21571,3190,52.6,HF00451,52.6,HF00451,adequately_served
W0445,Josrani,5035,872,52.4,HF00960,52.4,HF00960,adequately_served
W0291,Katnule,18324,2845,52.2,HF00659,52.2,HF00659,adequately_served
W0338,Nastino,15608,2729,52.2,HF00933,41.0,HF00925,adequately_served
W0358,Ekesasa,50681,9065,52.1,HF00787,52.1,HF00787,adequately_served
W0422,Adedede,20157,3104,52.0,HF00649,52.0,HF00649,adequately_served
W0043,Tivlana,49189,8230,51.8,HF00363,51.8,HF00363,adequately_served
W0230,Wurjino,21536,3377,51.8,HF00582,29.4,HF00583,adequately_served
W0022,Gwobedu,27132,4123,51.7,HF00029,21.2,HF00055,adequately_served
W0327,Suplashi,23202,4107,51.5,HF00881,50.9,HF00882,adequately_served
W0465,Gwokoma,9433,1447,51.4,HF00754,32.9,HF00809,adequately_served
W0468,Supmija,26377,3832,51.4,HF00825,51.4,HF00825,adequately_served
W0152,Iroketu,47082,7470,51.4,HF00242,41.6,HF00244,adequately_served
W0376,Yelwana,15857,2299,51.4,HF00541,51.4,HF00541,adequately_served
W0079,Uzotishi,82183,14985,51.3,HF00373,38.0,HF00374,adequately_served
W0134,Zammiwa,133322,22069,51.2,HF00239,31.0,HF00238,adequately_served
W0218,Ekebemi,17471,2847,50.9,HF00549,46.8,HF00548,adequately_served
W0215,Josmita,20812,3542,50.7,HF00578,33.1,HF00575,adequately_served
W0098,Lokderi,32820,5693,50.7,HF00112,50.7,HF00112,adequately_served
W0235,Olukoko,4374,786,50.5,HF00492,50.5,HF00492,adequately_served
W0514,Katraja,15368,2468,50.2,HF01266,50.2,HF01266,adequately_served
W0576,Kadtini,115814,17571,50.2,HF01282,50.2,HF01282,adequately_served
W0187,Kuktsini,159257,27738,50.0,HF00302,50.0,HF00302,adequately_served
W0442,Yobludu,28989,4322,49.9,HF00953,49.9,HF00953,adequately_served
W0148,Loksafa,8309,1490,49.7,HF00566,18.5,HF00569,adequately_served
W0504,Maljini,16052,2895,49.6,HF01180,26.7,HF01182,adequately_served
W0534,Bauyoyi,48359,8057,49.6,HF01142,32.8,HF01143,adequately_served
W0404,Kuknadu,28978,5337,49.4,HF00752,44.2,HF00750,adequately_served
W0475,Uzozafa,28734,5183,49.4,HF01260,49.4,HF01260,adequately_served
W0224,Uzoluwo,19272,2941,49.3,HF00445,49.3,HF00445,adequately_served
W0097,Kukjimi,19599,3474,49.3,HF00622,22.0,HF00199,adequately_served
W0419,Uzowadu,41644,7348,49.2,HF01218,49.2,HF01218,adequately_served
W0322,Hanluri,46058,7796,49.1,HF00633,27.7,HF00632,adequately_served
W0577,Daibano,37618,5539,49.1,HF01282,49.1,HF01282,adequately_served
W0518,Umuwari,91696,14631,49.0,HF01233,27.7,HF01234,adequately_served
W0021,Ekeluno,6698,1014,49.0,HF00068,49.0,HF00068,adequately_served
W0284,Okemishi,27389,4357,48.5,HF00675,48.5,HF00675,adequately_served
W0145,Gwokemi,30630,5641,48.5,HF00596,20.7,HF00628,adequately_served
W0620,Gwotsimi,28730,5267,48.4,HF01294,48.4,HF01294,adequately_served
W0272,Bannasa,6751,1232,48.3,HF00510,48.3,HF00510,adequately_served
W0156,Kuktidu,14559,2144,48.3,HF00388,41.5,HF00386,adequately_served
W0485,Kattino,14862,2524,48.2,HF00966,48.2,HF00966,adequately_served
W0005,Oludeli,6328,1113,48.1,HF00011,40.0,HF00010,adequately_served
W0266,Okeshali,39626,6456,48.1,HF00325,48.1,HF00325,adequately_served
W0520,Yelbeba,21297,3456,48.0,HF00795,48.0,HF00795,adequately_served
W0588,Kadsade,29096,5141,48.0,HF01309,44.1,HF01307,adequately_served
W0516,Dailutu,21865,3909,48.0,HF01263,39.0,HF01264,adequately_served
W0610,Ngejile,24367,4215,47.9,HF01322,47.9,HF01322,adequately_served
W0030,Olumadu,16521,2961,47.7,HF00074,47.7,HF00074,adequately_served
W0167,Ekewafa,44270,6729,47.7,HF00441,47.7,HF00441,adequately_served
W0264,Wurnude,52061,8286,47.5,HF00889,47.5,HF00889,adequately_served
W0386,Birngowa,14935,2697,47.2,HF00530,47.2,HF00530,adequately_served
W0506,Dairili,55806,9194,47.1,HF00850,47.1,HF00850,adequately_served
W0267,Okekede,18762,3202,47.1,HF00429,44.7,HF00425,adequately_served
W0068,Hanzami,39282,6477,46.9,HF00227,46.9,HF00227,adequately_served
W0345,Olulale,52073,9564,46.9,HF00524,38.3,HF00883,adequately_served
W0510,Tammawo,16593,2846,46.8,HF01085,46.8,HF01085,adequately_served
W0173,Enuzale,24688,3756,46.6,HF00596,46.6,HF00596,adequately_served
W0234,Hanbafa,30099,4494,46.3,HF00554,28.8,HF00555,adequately_served
W0443,Supngotu,34129,5714,46.1,HF00820,29.7,HF00817,adequately_served
W0155,Fundudu,13983,2234,46.1,HF00416,46.1,HF00416,adequately_served
W0282,Enunayi,98702,17568,46.0,HF00265,39.5,HF00735,adequately_served
W0415,Birbele,54096,9626,46.0,HF00816,39.4,HF00815,adequately_served
W0450,Birnuwa,188455,28202,46.0,HF01224,39.1,HF01223,adequately_served
W0216,Jossafa,95712,17461,45.9,HF00280,35.0,HF00283,adequately_served
W0033,Baukeshi,8576,1335,45.9,HF00029,45.9,HF00029,adequately_served
W0377,Kukwana,18654,3375,45.8,HF00900,45.8,HF00900,adequately_served
W0103,Kadjino,18151,3167,45.8,HF00384,45.8,HF00384,adequately_served
W0174,Ademano,6556,1094,45.7,HF00574,45.7,HF00574,adequately_served
W0207,Malkori,33013,5535,45.3,HF00445,45.3,HF00445,adequately_served
W0385,Duttiri,41492,7184,45.3,HF00531,44.7,HF00532,adequately_served
W0320,Enumitu,62751,9137,45.2,HF00737,45.2,HF00737,adequately_served
W0239,Daizaru,45948,7423,45.1,HF00281,39.5,HF00251,adequately_served
W0179,Yelrari,8241,1480,44.9,HF00468,44.9,HF00468,adequately_served
W0023,Sokdema,17448,3131,44.8,HF00061,44.8,HF00061,adequately_served
W0014,Maljiba,29801,4884,44.8,HF00068,44.8,HF00068,adequately_served
W0136,Oluketa,23296,4163,44.6,HF00384,44.6,HF00384,adequately_served
W0056,Okedeni,59574,8982,44.4,HF00196,44.4,HF00196,adequately_served
W0351,Duttsisa,20255,3577,44.2,HF00789,44.2,HF00789,adequately_served
W0541,Okenuko,25417,4015,44.0,HF01047,44.0,HF01047,adequately_served
W0233,Agbderu,7974,1468,43.9,HF00549,39.7,HF00548,adequately_served
W0223,Lokngoko,17616,2961,43.5,HF00445,43.5,HF00445,adequately_served
W0271,Oludude,9005,1362,42.5,HF00429,40.0,HF00425,adequately_served
W0072,Riysano,46190,8511,42.4,HF00171,42.4,HF00171,adequately_served
W0355,Uzosawo,81645,13881,42.4,HF00737,42.4,HF00737,adequately_served
W0387,Baunata,25729,4186,42.3,HF01093,14.8,HF00673,adequately_served
W0113,Supzaja,64114,10094,42.2,HF00112,42.2,HF00112,adequately_served
W0194,Enurita,14421,2192,42.2,HF00439,35.1,HF00442,adequately_served
W0483,Birjili,84992,12908,42.1,HF01260,42.1,HF01260,adequately_served
W0380,Josmako,12033,2078,42.0,HF00917,30.6,HF900919,adequately_served
W0481,Uzolaba,4200,653,42.0,HF00847,42.0,HF00847,adequately_served
W0392,Joslaru,36359,6175,41.9,HF01103,41.9,HF01103,adequately_served
W0311,Uzotsiru,17315,3078,41.6,HF00736,36.9,HF00733,adequately_served
W0129,Ibashadu,7693,1266,41.6,HF00352,33.9,HF00435,adequately_served
W0114,Baulutu,78092,11587,41.5,HF00384,41.5,HF00384,adequately_served
W0018,Wurjimi,19041,3508,41.4,HF00029,41.4,HF00029,adequately_served
W0525,Funzata,56220,8588,41.3,HF01268,41.3,HF01268,adequately_served
W0565,Dailaba,114547,20174,41.3,HF00984,41.3,HF00984,adequately_served
W0507,Zamnuno,52332,9100,41.0,HF01180,22.6,HF01138,adequately_served
W0560,Shatsiba,111681,18185,41.0,HF00984,27.3,HF00989,adequately_served
W0130,Okenawa,13430,2201,41.0,HF00213,36.8,HF00214,adequately_served
W0447,Agbngode,21622,3510,40.9,HF01113,40.9,HF01113,adequately_served
W0116,Tamdule,16627,2874,40.8,HF00207,40.8,HF00207,adequately_served
W0260,Banmiru,23563,4238,40.6,HF00463,40.6,HF00463,adequately_served
W0115,Yobzasa,27991,4785,40.5,HF00176,40.5,HF00176,adequately_served
W0366,Ngebana,9780,1757,40.3,HF00530,40.3,HF00530,adequately_served
W0024,Kadrani,17342,3202,40.2,HF00023,40.2,HF00023,adequately_served
W0490,Zamdena,23066,4084,39.8,HF00827,33.1,HF00830,adequately_served
W0400,Banzashi,6350,1159,39.8,HF01218,39.8,HF01218,adequately_served
W0562,Bandema,80909,13036,39.8,HF01048,39.8,HF01048,adequately_served
W0342,Ngemiyi,173629,27558,39.7,HF00787,39.7,HF00787,adequately_served
W0190,Katduna,19158,3251,39.6,HF00570,39.6,HF00570,adequately_served
W0425,Riynuna,4633,794,39.6,HF00954,39.6,HF00954,adequately_served
W0586,Kukngole,134710,24818,39.5,HF01026,39.5,HF01026,adequately_served
W0247,Daisale,54735,9229,39.5,HF00311,34.3,HF00291,adequately_served
W0061,Agbsatu,10883,1861,39.5,HF00172,39.5,HF00172,adequately_served
W0231,Funmidu,53205,8132,39.2,HF00587,39.2,HF00587,adequately_served
W0202,Sokmimi,27319,4807,39.1,HF00470,39.1,HF00470,adequately_served
W0597,Ngetiba,110138,16966,39.0,HF01026,39.0,HF01026,adequately_served
W0011,Lokngodu,36966,6524,38.9,HF00047,27.0,HF00088,adequately_served
W0040,Yelluna,30616,5479,38.5,HF00026,38.5,HF00026,adequately_served
W0042,Supnami,23375,4252,38.5,HF00008,33.7,HF00072,adequately_served
W0350,Ekenushi,24459,3750,38.3,HF00705,34.8,HF00701,adequately_served
W0313,Riymano,134531,24673,38.2,HF00782,38.2,HF00782,adequately_served
W0035,Baujimi,50218,8617,38.0,HF00181,38.0,HF00181,adequately_served
W0269,Shayona,39946,6008,37.2,HF00675,37.2,HF00675,adequately_served
W0509,Shazama,12703,2280,37.0,HF00968,20.1,HF00967,adequately_served
W0543,Ngeriba,14309,2466,37.0,HF01268,37.0,HF01268,adequately_served
W0329,Jostsita,13014,2007,36.9,HF00928,36.9,HF00928,adequately_served
W0544,Hantsishi,56022,8481,36.9,HF01072,36.9,HF01072,adequately_served
W0003,Josyole,21092,3247,36.9,HF00012,36.9,HF00012,adequately_served
W0593,Gwonale,25017,4616,36.8,HF01020,36.8,HF01020,adequately_served
W0414,Lokkode,67858,10432,36.7,HF00863,4.9,HF00866,adequately_served
W0248,Nasnayi,40002,6338,36.6,HF00463,36.6,HF00463,adequately_served
W0391,Kadbana,25752,4288,36.3,HF00864,36.3,HF00864,adequately_served
W0356,Daitisa,57444,8377,36.2,HF00789,36.2,HF00789,adequately_served
W0340,Ekengomi,17469,2663,35.9,HF00526,35.9,HF00526,adequately_served
W0557,Adetsita,19311,2946,35.8,HF01282,35.8,HF01282,adequately_served
W0256,Kadmaja,27456,4236,35.7,HF00419,33.1,HF00427,adequately_served
W0199,Ekekena,58641,9530,35.6,HF00608,21.2,HF00607,adequately_served
W0186,Adewadu,8052,1257,35.4,HF00574,35.4,HF00574,adequately_served
W0316,Tamduri,38124,5881,35.4,HF00876,14.9,HF00875,adequately_served
W0050,Dutmidu,17715,2644,35.3,HF00038,35.3,HF00038,adequately_served
W0591,Oluzana,15334,2253,35.3,HF01311,35.3,HF01311,adequately_served
W0440,Shaluja,42633,7718,34.9,HF01222,34.9,HF01222,adequately_served
W0299,Hanwano,32330,5418,34.8,HF00908,34.8,HF00908,adequately_served
W0606,Josmadu,68604,11731,34.8,HF01000,34.8,HF01000,adequately_served
W0278,Nasrari,5709,856,34.7,HF00889,34.7,HF00889,adequately_served
W0159,Dutsaba,12352,1824,34.5,HF00570,34.5,HF00570,adequately_served
W0537,Ngesana,9976,1799,34.5,HF00799,32.6,HF00800,adequately_served
W0596,Zamkoja,20075,3367,34.5,HF01002,34.5,HF01002,adequately_served
W0170,Dutkota,45234,6919,34.4,HF00302,34.4,HF00302,adequately_served
W0500,Riytsina,156842,28330,34.0,HF01260,34.0,HF01260,adequately_served
W0331,Daitsitu,66951,9983,33.9,HF00743,30.6,HF00745,adequately_served
W0613,Supdesa,23259,4191,33.9,HF01294,33.9,HF01294,adequately_served
W0302,Yeldena,31383,5194,33.8,HF00893,33.8,HF00893,adequately_served
W0547,Hanbeko,123248,20697,33.8,HF01047,33.8,HF01047,adequately_served
W0096,Malsana,44341,6921,33.7,HF00138,33.7,HF00138,adequately_served
W0453,Adetsidu,12736,1950,33.7,HF00825,33.7,HF00825,adequately_served
W0477,Funjiyi,23272,3790,33.1,HF01083,33.1,HF01083,adequately_served
W0084,Wurdesa,47436,8228,33.0,HF00122,31.4,HF00125,adequately_served
W0281,Tamngoba,37386,6750,32.7,HF00325,32.7,HF00325,adequately_served
W0141,Zamlani,57075,8559,32.5,HF00398,19.6,HF00412,adequately_served
W0161,Birwari,11243,1678,32.4,HF00158,30.5,HF00161,adequately_served
W0460,Ekenuno,36284,6257,31.5,HF01112,24.6,HF01115,adequately_served
W0210,Riyshawa,19364,2855,31.1,HF00605,31.1,HF00605,adequately_served
W0048,Kadbemi,32555,4893,30.7,HF00223,30.7,HF00223,adequately_served
W0039,Funngoli,24916,4111,30.7,HF00025,30.7,HF00025,adequately_served
W0382,Bantsiko,171413,27404,30.5,HF00776,30.5,HF00776,adequately_served
W0133,Oluyoko,15374,2340,30.4,HF00566,30.4,HF00566,adequately_served
W0308,Uzodumi,56649,8954,30.2,HF00731,30.2,HF00731,adequately_served
W0452,Adewano,7444,1244,30.2,HF00820,30.2,HF00820,adequately_served
W0027,Irobade,15603,2363,29.7,HF00219,29.7,HF00219,adequately_served
W0070,Zamkono,18303,2901,29.2,HF00196,29.2,HF00196,adequately_served
W0138,Banrija,26062,4715,28.7,HF00145,15.5,HF00144,adequately_served
W0028,Kuknuno,19120,3286,28.7,HF00058,28.7,HF00058,adequately_served
W0566,Wurtsiwa,219138,36978,28.2,HF01054,25.5,HF01056,adequately_served
W0332,Ibarima,5481,873,27.8,HF00524,27.8,HF00524,adequately_served
W0496,Baubama,19064,2843,27.6,HF01085,27.6,HF01085,adequately_served
W0412,Yelngomi,7116,1197,27.6,HF01094,27.6,HF01094,adequately_served
W0254,Eketiyi,8363,1463,27.6,HF00499,27.6,HF00499,adequately_served
W0561,Okedefa,12421,1910,27.4,HF01190,27.4,HF01190,adequately_served
W0361,Sokyowa,23511,3518,27.4,HF00667,27.4,HF00667,adequately_served
W0099,Dutmili,27064,4746,27.3,HF00345,27.3,HF00345,adequately_served
W0222,Yobbeko,22786,3829,27.1,HF00461,27.1,HF00461,adequately_served
W0502,Hantima,41236,6427,27.0,HF00833,27.0,HF00833,adequately_served
W0378,Katbaru,66556,9690,26.6,HF00722,26.6,HF00722,adequately_served
W0458,Agbmile,26016,4701,26.6,HF01083,26.6,HF01083,adequately_served
W0467,Suptini,29231,4332,26.6,HF01202,26.6,HF01202,adequately_served
W0368,Josmatu,16569,2532,26.2,HF00916,26.2,HF00916,adequately_served
W0259,Adejisa,122654,20400,26.1,HF00297,26.1,HF00297,adequately_served
W0489,Ngemili,6567,1121,25.3,HF00829,25.3,HF00829,adequately_served
W0147,Adenuru,12873,2145,25.2,HF00416,25.2,HF00416,adequately_served
W0214,Gwonade,322123,55173,24.3,HF00311,24.3,HF00311,adequately_served
W0402,Agbdeni,23171,4165,24.2,HF01107,24.2,HF01107,adequately_served
W0559,Lokrana,77390,13252,23.5,HF00988,23.5,HF00988,adequately_served
W0137,Funtsiwa,12133,2240,23.3,HF00132,23.3,HF00132,adequately_served
W0616,Ekejini,21152,3090,22.8,HF01294,22.8,HF01294,adequately_served
W0289,Tivbata,11737,1943,22.7,HF00547,22.7,HF00547,adequately_served
W0314,Yobnushi,36757,6093,21.8,HF00912,21.8,HF00912,adequately_served
W0065,Wurlawo,32751,5053,21.7,HF00227,21.7,HF00227,adequately_served
W0227,Kukngowa,14415,2543,21.3,HF00561,21.3,HF00561,adequately_served
W0602,Yelshama,59006,10631,20.6,HF01322,20.6,HF01322,adequately_served
W0185,Ekezali,60262,9549,20.6,HF00249,20.6,HF00249,adequately_served
W0029,Katzano,12718,2321,20.4,HF00004,20.4,HF00004,adequately_served
W0572,Kuknayi,61989,10091,20.3,HF01196,20.3,HF01196,adequately_served
W0546,Adesale,81668,14732,20.1,HF00982,20.1,HF00982,adequately_served
W0049,Nastili,23744,3918,19.9,HF00223,19.9,HF00223,adequately_served
W0399,Katduba,17739,2807,19.6,HF00649,19.6,HF00649,adequately_served
W0189,Katlano,209177,30640,19.0,HF00273,19.0,HF00273,adequately_served
W0073,Funzako,7985,1360,18.8,HF00359,18.8,HF00359,adequately_served
W0574,Gwodeja,19357,2979,18.1,HF01304,18.1,HF01304,adequately_served
W0336,Birmishi,27622,4470,12.6,HF00635,12.6,HF00635,adequately_served
W0255,Kukbeja,20506,3403,6.0,HF00499,6.0,HF00499,adequately_served
