ward_code,ward_name,total_population,population_under5,nearest_adequate_facility_id,travel_time_minutes,reachable
W0477,Funjiyi,23272,3790,HF01083,33.1,true
W0495,Shaketa,27884,4569,HF01085,76.5,true
W0496,Baubama,19064,2843,HF01085,27.6,true
W0510,Tammawo,16593,2846,HF01085,46.8,true
W0389,Agbwali,63754,9846,HF01092,72.6,true
W0406,Hansasa,28696,4775,HF01092,75.3,true
W0412,Yelngomi,7116,1197,HF01094,27.6,true
W0437,Katluko,10915,1803,HF01112,59.2,true
W0392,Joslaru,36359,6175,HF01103,41.9,true
W0402,Agbdeni,23171,4165,HF01107,24.2,true
W0433,Shangoru,34915,6230,HF01077,87.9,true
W0434,Lokngode,12011,1811,HF01077,71.2,true
W0447,Agbngode,21622,3510,HF01113,40.9,true
W0458,Agbmile,26016,4701,HF01083,26.6,true
W0460,Ekenuno,36284,6257,HF01112,31.5,true
W0461,Lokwari,25999,4774,HF01112,86.3,true
W0471,Soknutu,9182,1625,HF01112,68.0,true
W0488,Zambaja,21075,3478,HF01123,70.4,true
W0498,Naslawa,38895,6378,HF01123,117.1,true
W0513,Okekewa,16391,2627,HF00982,80.2,true
W0517,Banshafa,17151,2506,HF01085,66.3,true
W0526,Yobdede,21999,3533,HF01065,102.4,true
W0528,Loktifa,6608,1108,HF00988,92.0,true
W0529,Supdushi,13330,2373,HF01085,107.4,true
W0530,Kadzaru,27863,4187,HF00988,80.0,true
W0507,Zamnuno,52332,9100,HF01180,41.0,true
W0519,Ekeriri,23060,3814,HF01142,68.7,true
W0531,Umuwako,38914,5813,HF01142,58.6,true
W0534,Bauyoyi,48359,8057,HF01142,49.6,true
W0587,Okemashi,29466,4729,HF01142,110.1,true
W0592,Tivrana,13446,2101,HF01196,69.2,true
W0595,Zamriru,33457,5800,HF01196,80.4,true
W0601,Riynawa,29087,5261,HF01196,119.9,true
W0535,Dairami,14424,2502,HF01142,70.5,true
W0549,Tivdewo,50209,8502,HF01142,115.1,true
W0552,Riydewa,9433,1535,HF01142,54.3,true
W0556,Josngoni,6005,977,HF01304,113.6,true
W0558,Tamsashi,26701,4303,HF01142,64.5,true
W0563,Shatsino,25700,4369,HF01190,96.2,true
W0568,Yobkema,52632,8470,HF01142,80.4,true
W0570,Hantsiyi,7557,1285,HF01142,111.4,true
W0573,Riyjiyi,29232,4838,HF01304,121.7,true
W0569,Lokmiba,30658,5152,HF00850,119.9,true
W0575,Agbmama,34375,5281,HF00807,108.5,true
W0584,Shangodu,15050,2231,HF01190,60.4,true
W0589,Tivtsiwo,10147,1585,HF01190,63.1,true
W0480,Malnumi,8389,1358,HF01180,86.9,true
W0501,Hanlasa,39720,6117,HF00833,72.4,true
W0504,Maljini,16052,2895,HF01180,49.6,true
W0515,Oluwaba,41540,6419,HF01233,89.4,true
W0536,Iroyori,42824,7385,HF01142,65.6,true
W0551,Gwobali,15246,2654,HF01190,90.8,true
W0553,Nasmitu,7788,1389,HF00850,136.0,true
W0561,Okedefa,12421,1910,HF01190,27.4,true
W0572,Kuknayi,61989,10091,HF01196,20.3,true
W0444,Adeketu,53997,9842,HF01202,68.1,true
W0467,Suptini,29231,4332,HF01202,26.6,true
W0469,Sokbedu,140881,25427,HF01205,72.3,true
W0472,Shayoshi,56089,9385,HF01209,78.4,true
W0491,Sokmiwa,94379,13768,HF01205,56.2,true
W0390,Ibayoma,69599,11796,HF01214,59.3,true
W0403,Daizayi,46380,7872,HF01214,63.6,true
W0429,Birriwa,128118,19638,HF01218,54.3,true
W0440,Shaluja,42633,7718,HF01222,34.9,true
W0450,Birnuwa,188455,28202,HF01224,46.0,true
W0466,Sharishi,88072,15548,HF01222,72.4,true
W0479,Katyodu,25059,4392,HF01233,85.2,true
W0497,Olujisa,94135,14585,HF01209,69.7,true
W0518,Umuwari,91696,14631,HF01233,49.0,true
W0532,Gwobeno,54469,9658,HF01233,64.8,true
W0538,Baurino,51509,8208,HF01262,81.0,true
W0545,Irowani,127396,19076,HF01233,89.4,true
W0441,Yobwani,26544,4449,HF01222,58.7,true
W0446,Shashafa,90801,14081,HF01248,56.3,true
W0456,Okebawo,65346,10973,HF01248,58.4,true
W0475,Uzozafa,28734,5183,HF01260,49.4,true
W0483,Birjili,84992,12908,HF01260,42.1,true
W0500,Riytsina,156842,28330,HF01260,34.0,true
W0505,Riywashi,39119,5976,HF01262,55.4,true
W0516,Dailutu,21865,3909,HF01263,48.0,true
W0524,Wurbali,68250,11686,HF01263,125.6,true
W0525,Funzata,56220,8588,HF01268,41.3,true
W0542,Bantsile,17779,3209,HF01268,67.5,true
W0543,Ngeriba,14309,2466,HF01268,37.0,true
W0548,Uzodushi,33925,5842,HF01268,66.4,true
W0557,Adetsita,19311,2946,HF01282,35.8,true
W0564,Katnawa,11116,1909,HF01304,68.8,true
W0577,Daibano,37618,5539,HF01282,49.1,true
W0611,Dairiwo,9132,1503,HF01294,56.2,true
W0613,Supdesa,23259,4191,HF01294,33.9,true
W0616,Ekejini,21152,3090,HF01294,22.8,true
W0619,Malludu,27464,5014,HF01294,57.7,true
W0620,Gwotsimi,28730,5267,HF01294,48.4,true
W0550,Ngebasa,3763,584,HF01304,124.1,true
W0567,Adenashi,15920,2455,HF01304,67.4,true
W0574,Gwodeja,19357,2979,HF01304,18.1,true
W0588,Kadsade,29096,5141,HF01309,48.0,true
W0599,Malsharu,47299,8059,HF01309,57.0,true
W0583,Yelwami,13065,1929,HF01311,57.2,true
W0585,Dutdeyi,28158,4310,HF01311,76.8,true
W0591,Oluzana,15334,2253,HF01311,35.3,true
W0603,Gwonuri,16351,2626,HF01311,54.4,true
W0604,Okewari,19350,2906,HF01294,54.8,true
W0607,Ngetsiko,23816,4166,HF01294,134.5,true
W0600,Agbmami,27160,3980,HF01322,98.4,true
W0602,Yelshama,59006,10631,HF01322,20.6,true
W0608,Supdedu,10065,1766,HF01322,65.9,true
W0610,Ngejile,24367,4215,HF01322,47.9,true
W0615,Aderari,19719,3028,HF01294,140.5,true
