household_id,cluster_id,stratum_code,interviewer_id,interview_date,interview_duration_min,result_of_visit,eligible_children_9_59_months,wealth_quintile,settlement_type,stage2_households_listed,stage2_households_selected
H01333,C067,ST03,I13,2026-05-22,17,Completed,4.0,5.0,Rural,136,20
H01293,C065,ST03,I11,2026-05-21,17,Completed,0.0,2.0,Urban,521,20
H01169,C059,ST02,I05,2026-05-20,16,Completed,2.0,4.0,Rural,275,20
H00134,C007,ST01,I07,2026-05-12,4,Completed,4.0,4.0,Rural,152,20
H01615,C081,ST03,I09,2026-05-24,20,Completed,1.0,5.0,Urban,260,20
H01193,C060,ST02,I06,2026-05-20,14,Completed,0.0,4.0,Urban,183,20
H00564,C029,ST01,I11,2026-05-15,26,Completed,3.0,1.0,Rural,130,20
H01230,C062,ST03,I08,2026-05-21,19,No eligible respondent after 3 visits,,,Urban,96,20
H00001,C001,ST01,I01,2026-05-11,20,Refused,,,Urban,318,20
H00420,C021,ST01,I07,2026-05-14,5,Completed,0.0,5.0,Rural,58,20
H00070,C004,ST01,I04,2026-05-11,23,Completed,1.0,2.0,Urban,291,20
H00678,C034,ST02,I16,2026-05-16,30,Completed,1.0,1.0,Rural,79,20
H00473,C024,ST01,I06,2026-05-14,23,Completed,2.0,2.0,Urban,189,20
H01341,C068,ST03,I14,2026-05-22,19,Completed,1.0,2.0,Urban,1038,20
H01505,C076,ST03,I04,2026-05-23,29,Completed,3.0,2.0,Urban,168,20
H00023,C002,ST01,I02,2026-05-11,21,No eligible respondent after 3 visits,,,Rural,287,20
H01002,C051,ST02,I15,2026-05-19,17,Completed,2.0,3.0,Rural,272,20
H00582,C030,ST01,I12,2026-04-29,22,Completed,1.0,4.0,Rural,133,20
H00856,C043,ST02,I07,2026-05-18,3,Completed,4.0,5.0,Rural,128,20
H01422,C072,ST03,I18,2026-05-22,17,Completed,2.0,5.0,Rural,98,20
H01593,C080,ST03,I08,2026-05-24,21,Completed,4.0,2.0,Rural,139,20
H00257,C013,ST01,I13,2026-05-13,29,No eligible respondent after 3 visits,,,Urban,196,20
H01180,C059,ST02,I05,2026-05-20,27,Completed,1.0,4.0,Rural,275,20
H01363,C069,ST03,I15,2026-05-22,21,Vacant dwelling,,,Rural,386,20
H00668,C034,ST02,I16,2026-05-16,24,Completed,2.0,2.0,Rural,79,20
H00242,C013,ST01,I13,2026-05-13,9,Completed,3.0,3.0,Urban,196,20
H00094,C005,ST01,I05,2026-05-11,33,Completed,0.0,1.0,Rural,178,20
H00175,C009,ST01,I09,2026-05-12,21,Completed,2.0,1.0,Rural,126,20
H01735,C087,ST03,I15,2026-05-25,14,No eligible respondent after 3 visits,,,Urban,229,20
H01620,C081,ST03,I09,2026-05-24,22,Refused,,,Urban,260,20
H00455,C023,ST01,I05,2026-05-14,17,Completed,3.0,1.0,Rural,151,20
H00633,C032,ST02,I14,2026-05-16,21,Completed,1.0,4.0,Rural,68,20
H01452,C073,ST03,I01,2026-05-23,20,Completed,1.0,4.0,Rural,14,20
H00729,C037,ST02,I01,2026-05-17,21,Completed,2.0,4.0,Urban,222,20
H00027,C002,ST01,I02,2026-05-11,11,Completed,1.0,5.0,Rural,287,20
H00454,C023,ST01,I05,2026-05-14,29,Completed,2.0,5.0,Rural,151,20
H00429,C022,ST01,I04,2026-05-14,12,Refused,,,Urban,197,20
H01221,C062,ST03,I08,2026-05-21,14,Refused,,,Urban,96,20
H00524,C027,ST01,I09,2026-05-15,17,Completed,2.0,5.0,Urban,262,20
H00642,C033,ST02,I15,2026-05-16,19,Completed,3.0,2.0,Rural,81,20
H01451,C073,ST03,I01,2026-05-23,18,Completed,1.0,1.0,Rural,14,20
H00166,C009,ST01,I09,2026-05-12,19,Completed,3.0,5.0,Rural,126,20
H00573,C029,ST01,I11,2026-05-15,20,Completed,3.0,1.0,Rural,130,20
H00702,C036,ST02,I18,2026-05-16,15,Completed,2.0,1.0,Urban,262,20
H00963,C049,ST02,I13,2026-05-19,28,Completed,1.0,2.0,Urban,615,20
H01148,C058,ST02,I04,2026-05-20,17,Vacant dwelling,,,Rural,380,20
H01186,C060,ST02,I06,2026-05-20,14,Completed,1.0,4.0,Urban,183,20
H00551,C028,ST01,I10,2026-05-15,18,Completed,3.0,1.0,Rural,119,20
H00923,C047,ST02,I11,2026-05-18,30,Completed,1.0,2.0,Urban,230,20
H00529,C027,ST01,I09,2026-05-15,29,Completed,2.0,4.0,Urban,262,20
H01770,C089,ST03,I17,2026-05-25,3,No eligible respondent after 3 visits,,,Urban,146,20
H00820,C041,ST02,I05,2026-05-17,10,Completed,3.0,2.0,Rural,292,20
H01577,C079,ST03,I07,2026-05-24,4,Completed,2.0,1.0,Rural,161,20
H00300,C015,ST01,I15,2026-05-13,18,Completed,2.0,2.0,Rural,168,20
H01648,C083,ST03,I11,2026-05-24,19,Completed,1.0,1.0,Urban,138,20
H00011,C001,ST01,I01,2026-05-11,18,Completed,3.0,1.0,Urban,318,20
H00480,C024,ST01,I06,2026-05-14,30,Completed,1.0,2.0,Urban,189,20
H01764,C089,ST03,I17,2026-05-25,15,Vacant dwelling,,,Urban,146,20
H00308,C016,ST01,I16,2026-05-13,19,Completed,0.0,4.0,Rural,193,20
H01107,C056,ST02,I02,2026-05-20,14,Completed,1.0,3.0,Urban,46,20
H01637,C082,ST03,I10,2026-05-24,25,No eligible respondent after 3 visits,,,Urban,111,20
H00669,C034,ST02,I16,2026-05-16,31,Completed,3.0,2.0,Rural,79,20
H01033,C052,ST02,I16,2026-05-19,18,Completed,1.0,5.0,Urban,623,20
H01759,C088,ST03,I16,2026-05-25,15,Completed,3.0,1.0,Rural,55,20
H01739,C087,ST03,I15,2026-05-25,11,Completed,3.0,5.0,Urban,229,20
H01304,C066,ST03,I12,2026-04-29,5,Completed,2.0,4.0,Urban,211,20
H00543,C028,ST01,I10,2026-05-15,14,Completed,1.0,2.0,Rural,119,20
H01494,C075,ST03,I03,2026-05-23,18,Completed,0.0,2.0,Rural,153,20
H00392,C020,ST01,I02,2026-05-14,35,Completed,0.0,3.0,Urban,138,20
H01585,C080,ST03,I08,2026-05-24,19,No eligible respondent after 3 visits,,,Rural,139,20
H01591,C080,ST03,I08,2026-05-24,28,Completed,4.0,1.0,Rural,139,20
H00291,C015,ST01,I15,2026-05-13,21,No eligible respondent after 3 visits,,,Rural,168,20
H01159,C058,ST02,I04,2026-05-20,23,Completed,0.0,4.0,Rural,380,20
H01757,C088,ST03,I16,2026-05-25,16,Completed,2.0,2.0,Rural,55,20
H01099,C055,ST02,I01,2026-05-20,22,No eligible respondent after 3 visits,,,Rural,262,20
H01793,C090,ST03,I07,2026-05-25,4,Completed,0.0,3.0,Urban,220,20
H00468,C024,ST01,I06,2026-05-14,15,Vacant dwelling,,,Urban,189,20
H00691,C035,ST02,I17,2026-05-16,25,Completed,2.0,5.0,Urban,80,20
H01181,C060,ST02,I06,2026-05-20,12,Completed,2.0,1.0,Urban,183,20
H01184,C060,ST02,I06,2026-05-20,24,Completed,1.0,5.0,Urban,183,20
H01381,C070,ST03,I16,2026-05-22,30,Completed,0.0,4.0,Urban,133,20
H01082,C055,ST02,I01,2026-05-20,21,Completed,0.0,5.0,Rural,262,20
H00255,C013,ST01,I13,2026-05-13,16,Completed,2.0,4.0,Urban,196,20
H00930,C047,ST02,I11,2026-05-18,11,Completed,1.0,3.0,Urban,230,20
H01762,C089,ST03,I17,2026-05-25,18,Completed,2.0,1.0,Urban,146,20
H01666,C084,ST03,I12,2026-05-24,30,Completed,0.0,1.0,Rural,678,20
H00264,C014,ST01,I07,2026-05-13,4,Completed,1.0,2.0,Urban,119,20
H00724,C037,ST02,I01,2026-05-17,21,Completed,3.0,4.0,Urban,222,20
H01574,C079,ST03,I07,2026-05-24,5,Completed,1.0,5.0,Rural,161,20
H01439,C072,ST03,I18,2026-05-22,19,Completed,0.0,2.0,Rural,98,20
H00591,C030,ST01,I12,2026-05-15,11,Completed,2.0,3.0,Rural,133,20
H00103,C006,ST01,I06,2026-05-11,10,Completed,3.0,5.0,Rural,177,20
H00503,C026,ST01,I08,2026-05-15,22,No eligible respondent after 3 visits,,,Rural,147,20
H01710,C086,ST03,I14,2026-05-25,14,Completed,3.0,2.0,Rural,83,20
H01596,C080,ST03,I08,2026-05-24,21,Completed,3.0,3.0,Rural,139,20
H00445,C023,ST01,I05,2026-05-14,25,Completed,4.0,1.0,Rural,151,20
H00067,C004,ST01,I04,2026-05-11,19,Completed,2.0,4.0,Urban,291,20
H01219,C061,ST03,I07,2026-05-21,3,Completed,1.0,5.0,Urban,432,20
H00174,C009,ST01,I09,2026-05-12,23,Completed,2.0,3.0,Rural,126,20
H01361,C069,ST03,I15,2026-05-22,9,Refused,,,Rural,386,20
H01382,C070,ST03,I16,2026-05-22,30,Completed,1.0,1.0,Urban,133,20
H00743,C038,ST02,I02,2026-05-17,20,Completed,2.0,1.0,Rural,207,20
H00019,C001,ST01,I01,2026-05-11,28,Completed,1.0,2.0,Urban,318,20
H00831,C042,ST02,I06,2026-05-17,31,Completed,1.0,2.0,Rural,123,20
H01508,C076,ST03,I04,2026-05-23,20,Completed,4.0,4.0,Urban,168,20
H01328,C067,ST03,I13,2026-05-22,17,Refused,,,Rural,136,20
H01208,C061,ST03,I07,2026-05-21,4,Completed,1.0,4.0,Urban,432,20
H01556,C078,ST03,I06,2026-05-23,21,Completed,1.0,5.0,Urban,151,20
H01158,C058,ST02,I04,2026-05-20,15,Completed,4.0,3.0,Rural,380,20
H01411,C071,ST03,I17,2026-05-22,21,Completed,1.0,3.0,Rural,239,20
H01214,C061,ST03,I07,2026-05-21,4,Completed,2.0,2.0,Urban,432,20
H01150,C058,ST02,I04,2026-05-20,18,Completed,2.0,5.0,Rural,380,20
H00364,C019,ST01,I07,2026-05-14,6,Completed,4.0,3.0,Rural,78,20
H00401,C021,ST01,I07,2026-05-14,4,Completed,1.0,1.0,Rural,58,20
H00112,C006,ST01,I06,2026-05-11,13,Completed,1.0,2.0,Rural,177,20
H00367,C019,ST01,I07,2026-05-14,4,Completed,2.0,1.0,Rural,78,20
H00334,C017,ST01,I17,2026-05-13,15,Completed,2.0,3.0,Rural,90,20
H01609,C081,ST03,I09,2026-05-24,32,Completed,2.0,3.0,Urban,260,20
H00136,C007,ST01,I07,2026-05-12,2,Completed,2.0,5.0,Rural,152,20
H01548,C078,ST03,I06,2026-05-23,32,Refused,,,Urban,151,20
H00176,C009,ST01,I09,2026-05-12,19,Completed,1.0,1.0,Rural,126,20
H01218,C061,ST03,I07,2026-05-21,4,Completed,2.0,4.0,Urban,432,20
H00003,C001,ST01,I01,2026-05-11,29,No eligible respondent after 3 visits,,,Urban,318,20
H00595,C030,ST01,I12,2026-05-15,39,Completed,2.0,2.0,Rural,133,20
H01602,C081,ST03,I09,2026-05-24,22,Completed,1.0,5.0,Urban,260,20
H00031,C002,ST01,I02,2026-05-11,12,Completed,2.0,5.0,Rural,287,20
H00603,C031,ST02,I13,2026-05-16,2,Completed,3.0,1.0,Rural,160,20
H01133,C057,ST02,I03,2026-05-20,25,Completed,3.0,5.0,Rural,96,20
H00706,C036,ST02,I18,2026-05-16,18,Completed,1.0,3.0,Urban,262,20
H01432,C072,ST03,I18,2026-05-22,30,Completed,2.0,5.0,Rural,98,20
H00783,C040,ST02,I04,2026-05-17,22,Completed,1.0,2.0,Urban,181,20
H01065,C054,ST02,I18,2026-05-19,20,Completed,2.0,3.0,Rural,88,20
H01175,C059,ST02,I05,2026-05-20,24,Completed,3.0,1.0,Rural,275,20
H01204,C061,ST03,I07,2026-05-21,3,Completed,1.0,1.0,Urban,432,20
H00472,C024,ST01,I06,2026-05-14,10,Completed,0.0,5.0,Urban,189,20
H00407,C021,ST01,I07,2026-05-14,2,Completed,2.0,4.0,Rural,58,20
H00118,C006,ST01,I06,2026-05-11,20,Completed,1.0,3.0,Rural,177,20
H00675,C034,ST02,I16,2026-05-16,35,Completed,2.0,1.0,Rural,79,20
H00550,C028,ST01,I10,2026-05-15,23,Completed,1.0,5.0,Rural,119,20
H01746,C088,ST03,I16,2026-05-25,18,Completed,2.0,1.0,Rural,55,20
H00579,C029,ST01,I11,2026-05-15,22,Completed,1.0,2.0,Rural,130,20
H00164,C009,ST01,I09,2026-05-12,24,No eligible respondent after 3 visits,,,Rural,126,20
H00062,C004,ST01,I04,2026-05-11,25,Completed,2.0,4.0,Urban,291,20
H00723,C037,ST02,I01,2026-05-17,19,Completed,1.0,4.0,Urban,222,20
H00630,C032,ST02,I14,2026-05-16,24,Completed,2.0,4.0,Rural,68,20
H00539,C027,ST01,I09,2026-05-15,7,No eligible respondent after 3 visits,,,Urban,262,20
H00306,C016,ST01,I16,2026-05-13,31,Completed,4.0,3.0,Rural,193,20
H01775,C089,ST03,I17,2026-05-25,18,Completed,1.0,4.0,Urban,146,20
H01629,C082,ST03,I10,2026-05-24,27,Completed,4.0,3.0,Urban,111,20
H00355,C018,ST01,I18,2026-05-13,23,Completed,1.0,4.0,Rural,159,20
H00662,C034,ST02,I16,2026-05-16,16,No eligible respondent after 3 visits,,,Rural,79,20
H01247,C063,ST03,I09,2026-05-21,25,No eligible respondent after 3 visits,,,Rural,220,20
H00422,C022,ST01,I04,2026-05-14,10,Completed,1.0,5.0,Urban,197,20
H00964,C049,ST02,I13,2026-05-19,8,Refused,,,Urban,615,20
H00078,C004,ST01,I04,2026-05-11,21,No eligible respondent after 3 visits,,,Urban,291,20
H00154,C008,ST01,I08,2026-05-12,10,Completed,3.0,2.0,Rural,242,20
H00504,C026,ST01,I08,2026-05-15,20,Completed,1.0,3.0,Rural,147,20
H01270,C064,ST03,I10,2026-05-21,30,Completed,1.0,5.0,Rural,260,20
H00412,C021,ST01,I07,2026-05-14,6,Completed,0.0,4.0,Rural,58,20
H00226,C012,ST01,I12,2026-05-12,28,Completed,1.0,2.0,Urban,273,20
H01283,C065,ST03,I11,2026-05-21,22,Completed,0.0,1.0,Urban,521,20
H01627,C082,ST03,I10,2026-05-24,34,Completed,4.0,5.0,Urban,111,20
H01357,C068,ST03,I14,2026-05-22,24,Completed,2.0,2.0,Urban,1038,20
H00505,C026,ST01,I08,2026-05-15,26,Completed,0.0,5.0,Rural,147,20
H00141,C008,ST01,I08,2026-05-12,17,Refused,,,Rural,242,20
H01522,C077,ST03,I05,2026-05-23,26,Completed,2.0,4.0,Urban,334,20
H00292,C015,ST01,I15,2026-05-13,22,Completed,2.0,4.0,Rural,168,20
H00193,C010,ST01,I10,2026-05-12,11,Completed,1.0,2.0,Rural,441,20
H00968,C049,ST02,I13,2026-05-19,20,Completed,4.0,1.0,Urban,615,20
H01652,C083,ST03,I11,2026-05-24,17,Completed,1.0,4.0,Urban,138,20
H01549,C078,ST03,I06,2026-05-23,24,Completed,2.0,2.0,Urban,151,20
H01110,C056,ST02,I02,2026-05-20,22,Completed,1.0,3.0,Urban,46,20
H00659,C033,ST02,I15,2026-05-16,10,Completed,0.0,5.0,Rural,81,20
H01477,C074,ST03,I02,2026-05-23,21,No eligible respondent after 3 visits,,,Rural,86,20
H00346,C018,ST01,I18,2026-05-13,29,Completed,3.0,2.0,Rural,159,20
H01789,C090,ST03,I07,2026-05-25,4,Completed,1.0,5.0,Urban,220,20
H00849,C043,ST02,I07,2026-05-18,3,Completed,1.0,5.0,Rural,128,20
H00146,C008,ST01,I08,2026-05-12,27,Completed,3.0,2.0,Rural,242,20
H00188,C010,ST01,I10,2026-05-12,28,Refused,,,Rural,441,20
H01317,C066,ST03,I12,2026-05-21,25,No eligible respondent after 3 visits,,,Urban,211,20
H00674,C034,ST02,I16,2026-05-16,21,Completed,0.0,1.0,Rural,79,20
H01743,C088,ST03,I16,2026-05-25,22,Completed,1.0,5.0,Rural,55,20
H01536,C077,ST03,I05,2026-05-23,16,Vacant dwelling,,,Urban,334,20
H00240,C012,ST01,I12,2026-05-12,18,Completed,0.0,2.0,Urban,273,20
H00395,C020,ST01,I02,2026-05-14,26,Completed,1.0,3.0,Urban,138,20
H00448,C023,ST01,I05,2026-05-14,31,Completed,1.0,3.0,Rural,151,20
H00430,C022,ST01,I04,2026-05-14,11,Completed,3.0,5.0,Urban,197,20
H01358,C068,ST03,I14,2026-05-22,16,Completed,2.0,3.0,Urban,1038,20
H00673,C034,ST02,I16,2026-05-16,20,Completed,1.0,2.0,Rural,79,20
H00241,C013,ST01,I13,2026-05-13,31,Refused,,,Urban,196,20
H01608,C081,ST03,I09,2026-05-24,19,Completed,1.0,1.0,Urban,260,20
H01074,C054,ST02,I18,2026-05-19,26,Completed,3.0,5.0,Rural,88,20
H01086,C055,ST02,I01,2026-05-20,23,Completed,2.0,4.0,Rural,262,20
H00895,C045,ST02,I09,2026-05-18,27,Completed,2.0,5.0,Rural,336,20
H00955,C048,ST02,I12,2026-05-18,25,Completed,3.0,2.0,Rural,229,20
H00398,C020,ST01,I02,2026-05-14,24,Refused,,,Urban,138,20
H01598,C080,ST03,I08,2026-05-24,24,Completed,2.0,4.0,Rural,139,20
H01667,C084,ST03,I12,2026-05-24,24,No eligible respondent after 3 visits,,,Rural,678,20
H01239,C062,ST03,I08,2026-05-21,24,Completed,1.0,3.0,Urban,96,20
H00713,C036,ST02,I18,2026-05-16,12,Completed,1.0,1.0,Urban,262,20
H01610,C081,ST03,I09,2026-05-24,16,Vacant dwelling,,,Urban,260,20
H00239,C012,ST01,I12,2026-05-12,27,Vacant dwelling,,,Urban,273,20
H01209,C061,ST03,I07,2026-05-21,3,Completed,0.0,3.0,Urban,432,20
H00614,C031,ST02,I13,2026-05-16,15,Completed,3.0,5.0,Rural,160,20
H00555,C028,ST01,I10,2026-05-15,20,Completed,1.0,1.0,Rural,119,20
H01714,C086,ST03,I14,2026-05-25,24,Completed,1.0,3.0,Rural,83,20
H00133,C007,ST01,I07,2026-05-12,4,Completed,1.0,5.0,Rural,152,20
H01097,C055,ST02,I01,2026-05-20,16,Completed,1.0,2.0,Rural,262,20
H00206,C011,ST01,I11,2026-05-12,16,Completed,0.0,5.0,Urban,127,20
H01100,C055,ST02,I01,2026-05-20,22,Completed,1.0,3.0,Rural,262,20
H01539,C077,ST03,I05,2026-05-23,20,No eligible respondent after 3 visits,,,Urban,334,20
H00935,C047,ST02,I11,2026-05-18,20,Completed,1.0,5.0,Urban,230,20
H00397,C020,ST01,I02,2026-05-14,15,Completed,1.0,3.0,Urban,138,20
H01544,C078,ST03,I06,2026-05-23,9,Completed,3.0,4.0,Urban,151,20
H01745,C088,ST03,I16,2026-05-25,12,Completed,1.0,3.0,Rural,55,20
H01480,C074,ST03,I02,2026-05-23,14,Completed,1.0,3.0,Rural,86,20
H01783,C090,ST03,I07,2026-05-25,3,Completed,2.0,5.0,Urban,220,20
H00996,C050,ST02,I14,2026-05-19,7,Completed,2.0,5.0,Rural,135,20
H01741,C088,ST03,I16,2026-05-25,15,Vacant dwelling,,,Rural,55,20
H01562,C079,ST03,I07,2026-05-24,4,Completed,4.0,3.0,Rural,161,20
H01702,C086,ST03,I14,2026-05-25,21,Refused,,,Rural,83,20
H00670,C034,ST02,I16,2026-05-16,18,Completed,0.0,3.0,Rural,79,20
H00432,C022,ST01,I04,2026-05-14,18,Completed,3.0,3.0,Urban,197,20
H00720,C036,ST02,I18,2026-05-16,21,Completed,1.0,5.0,Urban,262,20
H00532,C027,ST01,I09,2026-05-15,15,Completed,2.0,2.0,Urban,262,20
H01700,C085,ST03,I13,2026-05-25,25,No eligible respondent after 3 visits,,,Urban,121,20
H00745,C038,ST02,I02,2026-05-17,17,Completed,0.0,1.0,Rural,207,20
H01205,C061,ST03,I07,2026-05-21,4,Completed,0.0,1.0,Urban,432,20
H01684,C085,ST03,I13,2026-05-25,9,Completed,1.0,1.0,Urban,121,20
H01433,C072,ST03,I18,2026-05-22,23,Completed,3.0,3.0,Rural,98,20
H00251,C013,ST01,I13,2026-05-13,17,Completed,3.0,5.0,Urban,196,20
H01570,C079,ST03,I07,2026-05-24,6,Completed,1.0,2.0,Rural,161,20
H00302,C016,ST01,I16,2026-05-13,13,Completed,4.0,1.0,Rural,193,20
H00270,C014,ST01,I07,2026-05-13,3,Completed,1.0,4.0,Urban,119,20
H00115,C006,ST01,I06,2026-05-11,18,Completed,1.0,4.0,Rural,177,20
H01385,C070,ST03,I16,2026-05-22,28,Completed,1.0,2.0,Urban,133,20
H01377,C069,ST03,I15,2026-05-22,23,Completed,3.0,3.0,Rural,386,20
H00165,C009,ST01,I09,2026-05-12,16,Completed,2.0,2.0,Rural,126,20
H00096,C005,ST01,I05,2026-05-11,28,Completed,2.0,4.0,Rural,178,20
H01045,C053,ST02,I17,2026-05-19,21,Completed,2.0,1.0,Rural,64,20
H01495,C075,ST03,I03,2026-05-23,14,No eligible respondent after 3 visits,,,Rural,153,20
H01145,C058,ST02,I04,2026-05-20,21,Completed,1.0,3.0,Rural,380,20
H01061,C054,ST02,I18,2026-05-19,21,Completed,1.0,1.0,Rural,88,20
H01161,C059,ST02,I05,2026-05-20,17,Completed,2.0,3.0,Rural,275,20
H01303,C066,ST03,I12,2026-05-21,33,Completed,2.0,2.0,Urban,211,20
H00914,C046,ST02,I10,2026-05-18,22,Completed,2.0,4.0,Rural,129,20
H00015,C001,ST01,I01,2026-05-11,36,No eligible respondent after 3 visits,,,Urban,318,20
H01367,C069,ST03,I15,2026-05-22,9,Refused,,,Rural,386,20
H01435,C072,ST03,I18,2026-05-22,20,Completed,0.0,4.0,Rural,98,20
H00853,C043,ST02,I07,2026-05-18,5,Completed,3.0,3.0,Rural,128,20
H00415,C021,ST01,I07,2026-05-14,3,Completed,1.0,3.0,Rural,58,20
H00491,C025,ST01,I07,2026-05-15,3,Completed,1.0,2.0,Rural,95,20
H00619,C031,ST02,I13,2026-05-16,26,Completed,2.0,5.0,Rural,160,20
H00500,C025,ST01,I07,2026-05-15,4,Completed,2.0,2.0,Rural,95,20
H00839,C042,ST02,I06,2026-05-17,12,Completed,2.0,3.0,Rural,123,20
H01484,C075,ST03,I03,2026-05-23,21,No eligible respondent after 3 visits,,,Rural,153,20
H00626,C032,ST02,I14,2026-05-16,20,Completed,1.0,1.0,Rural,68,20
H01756,C088,ST03,I16,2026-05-25,28,Completed,1.0,5.0,Rural,55,20
H00319,C016,ST01,I16,2026-05-13,37,Completed,2.0,3.0,Rural,193,20
H00558,C028,ST01,I10,2026-05-15,33,Vacant dwelling,,,Rural,119,20
H01296,C065,ST03,I11,2026-05-21,14,Completed,2.0,2.0,Urban,521,20
H00666,C034,ST02,I16,2026-05-16,24,Completed,0.0,4.0,Rural,79,20
H00452,C023,ST01,I05,2026-05-14,31,Completed,2.0,4.0,Rural,151,20
H00684,C035,ST02,I17,2026-05-16,15,Completed,3.0,5.0,Urban,80,20
H00670,C034,ST02,I16,2026-05-16,18,Completed,0.0,3.0,Rural,79,20
H00208,C011,ST01,I11,2026-05-12,11,Completed,2.0,3.0,Urban,127,20
H00278,C014,ST01,I07,2026-05-13,6,Completed,0.0,1.0,Urban,119,20
H01482,C075,ST03,I03,2026-05-23,21,Completed,0.0,1.0,Rural,153,20
H01606,C081,ST03,I09,2026-05-24,21,Completed,1.0,5.0,Urban,260,20
H01692,C085,ST03,I13,2026-05-25,10,No eligible respondent after 3 visits,,,Urban,121,20
H01056,C053,ST02,I17,2026-05-19,22,Completed,3.0,1.0,Rural,64,20
H01617,C081,ST03,I09,2026-05-24,6,Completed,2.0,2.0,Urban,260,20
H01567,C079,ST03,I07,2026-05-24,2,Completed,1.0,3.0,Rural,161,20
H01129,C057,ST02,I03,2026-05-20,17,Completed,3.0,3.0,Rural,96,20
H01089,C055,ST02,I01,2026-05-20,20,Completed,1.0,5.0,Rural,262,20
H01738,C087,ST03,I15,2026-05-25,15,Completed,0.0,4.0,Urban,229,20
H00359,C018,ST01,I18,2026-05-13,23,Completed,4.0,1.0,Rural,159,20
H01259,C063,ST03,I09,2026-05-21,29,Completed,3.0,1.0,Rural,220,20
H01343,C068,ST03,I14,2026-05-22,21,Completed,2.0,4.0,Urban,1038,20
H01211,C061,ST03,I07,2026-05-21,5,Completed,1.0,3.0,Urban,432,20
H00971,C049,ST02,I13,2026-05-19,13,Completed,1.0,3.0,Urban,615,20
H01287,C065,ST03,I11,2026-05-21,25,Vacant dwelling,,,Urban,521,20
H00370,C019,ST01,I07,2026-05-14,3,Completed,3.0,5.0,Rural,78,20
H01217,C061,ST03,I07,2026-05-21,3,Completed,1.0,5.0,Urban,432,20
H00330,C017,ST01,I17,2026-05-13,21,Completed,1.0,2.0,Rural,90,20
H00168,C009,ST01,I09,2026-05-12,22,Completed,2.0,1.0,Rural,126,20
H00667,C034,ST02,I16,2026-05-16,6,Completed,1.0,3.0,Rural,79,20
H00119,C006,ST01,I06,2026-05-11,23,Completed,2.0,1.0,Rural,177,20
H00807,C041,ST02,I05,2026-05-17,20,Completed,2.0,5.0,Rural,292,20
H00305,C016,ST01,I16,2026-05-13,21,Completed,2.0,3.0,Rural,193,20
H00975,C049,ST02,I13,2026-05-19,17,Completed,3.0,3.0,Urban,615,20
H01137,C057,ST02,I03,2026-05-20,15,Completed,2.0,2.0,Rural,96,20
H00765,C039,ST02,I03,2026-05-17,30,Completed,3.0,4.0,Rural,142,20
H00559,C028,ST01,I10,2026-05-15,30,Completed,1.0,2.0,Rural,119,20
H01012,C051,ST02,I15,2026-05-19,12,Completed,2.0,2.0,Rural,272,20
H01041,C053,ST02,I17,2026-05-19,25,Completed,1.0,1.0,Rural,64,20
H00515,C026,ST01,I08,2026-05-15,32,No eligible respondent after 3 visits,,,Rural,147,20
H01144,C058,ST02,I04,2026-05-20,24,Completed,2.0,3.0,Rural,380,20
H00922,C047,ST02,I11,2026-05-18,26,Completed,1.0,3.0,Urban,230,20
H00093,C005,ST01,I05,2026-05-11,15,Completed,2.0,4.0,Rural,178,20
H01464,C074,ST03,I02,2026-05-23,21,Completed,1.0,1.0,Rural,86,20
H00813,C041,ST02,I05,2026-05-17,6,Completed,0.0,3.0,Rural,292,20
H00071,C004,ST01,I04,2026-05-11,20,Refused,,,Urban,291,20
H01420,C071,ST03,I17,2026-05-22,9,Completed,1.0,2.0,Rural,239,20
H01408,C071,ST03,I17,2026-05-22,12,Completed,4.0,2.0,Rural,239,20
H00464,C024,ST01,I06,2026-05-14,20,Completed,2.0,4.0,Urban,189,20
H00287,C015,ST01,I15,2026-05-13,18,Completed,1.0,3.0,Rural,168,20
H00584,C030,ST01,I12,2026-05-15,25,Completed,2.0,1.0,Rural,133,20
H01468,C074,ST03,I02,2026-05-23,21,Completed,3.0,5.0,Rural,86,20
H01478,C074,ST03,I02,2026-05-23,8,Refused,,,Rural,86,20
H00129,C007,ST01,I07,2026-05-12,5,Completed,2.0,1.0,Rural,152,20
H01773,C089,ST03,I17,2026-05-25,24,Completed,1.0,3.0,Urban,146,20
H01594,C080,ST03,I08,2026-05-24,29,Completed,0.0,2.0,Rural,139,20
H01156,C058,ST02,I04,2026-05-20,17,Completed,0.0,3.0,Rural,380,20
H00020,C001,ST01,I01,2026-05-11,22,Completed,3.0,4.0,Urban,318,20
H01236,C062,ST03,I08,2026-05-21,26,Completed,3.0,4.0,Urban,96,20
H00111,C006,ST01,I06,2026-05-11,15,Completed,1.0,1.0,Rural,177,20
H00601,C031,ST02,I13,2026-05-16,27,Completed,0.0,1.0,Rural,160,20
H01257,C063,ST03,I09,2026-05-21,22,Completed,2.0,3.0,Rural,220,20
H00170,C009,ST01,I09,2026-05-12,22,Completed,0.0,2.0,Rural,126,20
H01407,C071,ST03,I17,2026-05-22,17,No eligible respondent after 3 visits,,,Rural,239,20
H00105,C006,ST01,I06,2026-05-11,19,Completed,0.0,5.0,Rural,177,20
H01753,C088,ST03,I16,2026-05-25,13,No eligible respondent after 3 visits,,,Rural,55,20
